Emp Id,First Name,Last Name,Gender,Email,Date of Birth,Age,Weight,Date of Joining,Experience,Salary,Phone Number,County,City,State,Zip,Region
198429,Serafina,Bumgarner,F,serafina.bumgarner@exxonmobil.com,9/21/1982,34.87,45,02-01-2008,9.49,69294,212-376-9125,Chautauqua,Clymer,NY,14724,Northeast
178566,Juliette,Rojo,F,juliette.rojo@yahoo.co.uk,05-08-1967,50.26,55,06-04-2011,6.15,193912,215-254-9594,Montgomery,Glenside,PA,19038,Northeast
647173,Milan,Krawczyk,M,milan.krawczyk@hotmail.com,04-04-1980,37.34,68,1/19/2012,5.53,123681,240-748-4111,Anne Arundel,Gibson Island,MD,21056,South
847634,Elmer,Jason,M,elmer.jason@yahoo.com,04-09-1996,21.32,78,5/28/2017,0.17,93504,236-751-5963,Washington,Mendota,VA,24270,South
260736,Zelda,Forest,F,zelda.forest@ibm.com,11/27/1959,57.71,57,1/28/2014,3.5,176642,212-268-4076,Schenectady,Schenectady,NY,12306,Northeast
811306,Rhett,Wan,M,rhett.wan@hotmail.com,7/14/1976,41.07,71,1/21/2009,8.52,59406,209-984-3789,Fresno,Selma,CA,93662,West
956633,Hal,Farrow,M,hal.farrow@cox.net,3/15/1967,50.41,87,2/25/1991,26.44,164580,209-550-0139,Stanislaus,Modesto,CA,95353,West
629539,Del,Fernandez,M,del.fernandez@hotmail.com,8/13/1991,25.98,60,04-07-2016,1.31,138662,216-900-3642,Portage,Kent,OH,44243,Midwest
784160,Corey,Jackman,M,corey.jackman@gmail.com,04-12-1959,58.33,80,6/29/1984,33.1,57616,212-389-8573,Jamaica,Jamaica,NY,11480,Northeast
744723,Bibi,Paddock,F,bibi.paddock@yahoo.co.in,10/20/1991,25.79,52,11-02-2016,0.73,87148,423-355-3751,Overton,Rickman,TN,38580,South
423093,Eric,Manning,M,eric.manning@yahoo.com,11-02-1980,36.76,64,10/28/2002,14.76,149363,319-913-5811,Fayette,Clermont,IA,52135,Midwest
207808,Renetta,Hafner,F,renetta.hafner@aol.com,1/29/1975,42.52,50,8/22/1998,18.95,180289,239-664-4998,Broward,Fort Lauderdale,FL,33335,South
338634,Paz,Pearman,F,paz.pearman@gmail.com,2/28/1960,57.45,46,5/25/1982,35.2,144804,319-435-3438,Clayton,Garnavillo,IA,52049,Midwest
324573,Ardath,Forman,F,ardath.forman@gmail.com,11-12-1982,34.73,56,10/16/2009,7.79,189373,229-447-5924,Clarke,Athens,GA,30602,South
953724,Nanci,Osorio,F,nanci.osorio@hotmail.com,07-09-1982,35.08,44,11-07-2003,13.73,71321,603-298-3198,Grafton,Lincoln,NH,3251,Northeast
138700,Maricela,Simard,F,maricela.simard@gmail.com,7/21/1988,29.04,49,9/25/2016,0.84,88513,252-383-7726,Sampson,Ingold,NC,28446,South
644265,Avelina,Stoner,F,avelina.stoner@exxonmobil.com,10-01-1988,28.84,42,11/30/2010,6.66,157826,215-329-1990,Westmoreland,Salina,PA,15680,Northeast
223871,Christene,Mattison,F,christene.mattison@gmail.com,9/14/1990,26.89,46,9/13/2015,1.87,177224,314-561-9256,Jasper,Alba,MO,64830,Midwest
807262,Stefan,Maeda,M,stefan.maeda@yahoo.com,3/23/1990,27.37,57,11-05-2011,5.73,67028,225-889-6869,St. Tammany,Slidell,LA,70461,South
368234,Gillian,Winter,F,gillian.winter@gmail.com,1/17/1960,57.57,48,11/28/1984,32.68,103619,505-325-2023,Otero,Alamogordo,NM,88310,West
